Order,Artist,Title,Duration,Phase,Energy,Darkness,Notes
1,DJ Marky & XRS,LK (Instrumental Mix),6:02,Liquid opener,3,1,"Warm Brazilian lift; establish movement without announcing the darkness"
2,Logistics,Together,6:02,Liquid,4,1,"Bright rolling momentum and an easy first blend"
3,Commix,Be True,6:46,Deep liquid,4,2,"Soulful but more nocturnal; first hint of the descent"
4,Calibre & High Contrast,Mr Majestic,5:21,Liquid roller,5,2,"Keeps the groove musical while adding weight"
5,dBridge feat. Vegas,True Romance,6:31,Deep roller,5,3,"Vocals stay warm while the bassline turns inward"
6,Alex Reece,Pulp Fiction,6:12,Classic roller,5,4,"Stripped-back menace; pivot from liquid into classic Headz pressure"
7,Adam F,Metropolis Revisited,6:56,Atmospheric tech,6,4,"Cinematic transition with more machinery in the drums"
8,T.Power,Mutant Jazz (Rollers Instinct Remix),6:31,Dark jazzstep,6,5,"Jazz DNA remains, but the room is now visibly darker"
9,Concord Dawn,Morning Light,6:43,Melodic techstep,7,5,"Last major emotional release before the set hardens"
10,Codename John,The Warning,8:47,Metalheadz pressure,7,6,"Long-form tension builder; let this one breathe"
11,Ed Rush,Skylab,7:46,Techstep,8,7,"Cold sci-fi pressure and a clear shift into the second half"
12,Ed Rush & Optical,Bacteria,6:50,Neuro precursor,8,8,"Mechanical funk with no sunlight left"
13,Bad Company UK,The Nine,6:08,Darkstep anthem,9,8,"Iconic mid-set detonation; heads-down violence"
14,Ed Rush & Optical,Pacman (Ram Trilogy Remix),5:31,Neurofunk,9,8,"Sharper attack and relentless forward motion"
15,Konflict,Messiah,6:14,Techstep/neuro,9,9,"Apocalyptic scale; the set stops pretending to be friendly"
16,Noisia & The Upbeats,Dead Limit,6:00,Modern neuro,10,9,"Precision-engineered peak pressure"
17,Dom & Roland,Can't Punish Me,6:39,Dark techstep,10,10,"Relentless Moving Shadow pressure; prepare the final descent"
18,Evol Intent,7 Angels With 7 Plagues,7:22,Darkstep finale,10,10,"End-of-the-world closer; no encore needed"
